text,count
love,64
new,60
go,51
one,50
photo,46
free,44
day,41
may,40
state,35
miss,32
school,31
big,31
get,30
top,29
stop,28
make,27
life,26
good,26
see,26
use,26
time,26
run,26
box,26
like,25
happy,25
hi,24
play,24
man,23
look,23
live,21
work,21
way,21
team,20
dream,20
art,20
know,19
lot,19
win,19
would,19
club,19
red,18
change,18
right,18
book,18
high,18
university,18
also,18
service,18
call,17
people,17
world,17
pay,16
part,16
save,16
college,16
low,16
end,16
rock,16
real,15
try,15
king,15
center,15
keep,15
army,14
girl,14
national,14
say,14
please,14
ad,14
old,14
gap,14
car,13
color,13
night,13
home,13
open,13
party,13
land,13
law,13
ban,12
take,12
hello,12
blue,12
since,12
show,12
sun,12
think,12
digital,12
ice,12
never,12
pink,11
need,11
fair,11
care,11
list,11
let,11
magic,11
control,11
international,11
per,11
bell,11
clean,11
help,11
want,11
light,11
news,11
special,10
dance,10
city,10
design,10
every,10
camp,10
festival,10
photograph,10
capital,10
fun,10
company,10
thing,10
local,10
bank,10
award,10
loss,10
long,10
mail,10
name,10
must,10
music,10
back,10
via,10
class,9
die,9
add,9
buy,9
attention,9
put,9
public,9
sure,9
foundation,9
ball,9
always,9
fly,9
action,9
line,9
tax,9
star,9
far,9
house,9
crew,9
black,9
group,9
true,9
race,9
bill,9
act,9
original,9
stand,9
youth,8
first,8
board,8
kid,8
ear,8
mobile,8
little,8
much,8
lady,8
education,8
pro,8
creative,8
social,8
gun,8
full,8
come,8
god,8
union,8
set,8
without,8
hot,8
beach,8
net,8
bar,8
community,8
hope,8
air,8
year,8
grand,8
away,8
mission,7
walk,7
water,7
room,7
model,7
heart,7
library,7
coal,7
welcome,7
dress,7
secret,7
wing,7
accept,7
society,7
yes,7
volunteer,7
sound,7
technology,7
hall,7
north,7
calm,7
tell,7
game,7
oil,7
till,7
band,7
great,7
key,7
green,7
port,7
sweet,7
park,7
last,7
hell,7
event,7
voice,7
read,7
face,7
property,7
protect,7
fan,7
thank,7
soon,6
hair,6
cut,6
side,6
paper,6
cross,6
give,6
could,6
peace,6
shot,6
mom,6
idea,6
drive,6
money,6
energy,6
less,6
hear,6
feel,6
many,6
press,6
pop,6
image,6
plus,6
picture,6
future,6
science,6
even,6
nothing,6
meet,6
moon,6
safe,6
challenge,6
access,6
around,6
contact,6
west,6
town,6
village,6
card,6
arm,6
young,6
van,6
bus,6
perfect,5
believe,5
human,5
start,5
dig,5
ideal,5
shirt,5
political,5
bad,5
ill,5
food,5
trust,5
police,5
bear,5
choice,5
birth,5
tour,5
eastern,5
pen,5
coast,5
cancer,5
grade,5
today,5
totally,5
guess,5
bit,5
still,5
place,5
track,5
division,5
chocolate,5
post,5
forever,5
travel,5
shop,5
fish,5
support,5
south,5
cost,5
space,5
mark,5
age,5
family,5
mine,5
fashion,5
staff,5
character,5
smart,5
vote,5
area,5
charity,5
text,5
dad,5
power,5
mother,5
dear,5
champion,5
really,5
field,5
pour,4
poor,4
child,4
explore,4
chip,4
tap,4
proud,4
fire,4
extra,4
cast,4
fact,4
foot,4
front,4
chicken,4
forest,4
friend,4
file,4
freedom,4
program,4
core,4
planet,4
form,4
fight,4
print,4
find,4
copy,4
global,4
view,4
violence,4
kind,4
lack,4
association,4
ask,4
vital,4
leader,4
least,4
mix,4
another,4
web,4
allow,4
white,4
wild,4
winner,4
wish,4
word,4
mad,4
market,4
kick,4
justice,4
brown,4
move,4
tie,4
grow,4
guest,4
guy,4
hand,4
hard,4
order,4
head,4
trail,4
opera,4
bet,4
offer,4
none,4
user,4
natural,4
nation,4
baby,4
venture,4
join,4
health,4
plan,4
march,4
rest,4
studio,4
sky,4
reason,4
student,4
ski,4
spot,4
data,4
enter,4
short,4
share,4
rich,4
smile,4
ride,4
street,4
dinner,4
roll,4
complete,4
edge,4
send,4
eat,4
dog,4
stem,4
ever,4
collection,4
church,4
everybody,4
cool,4
reader,4
snow,4
contest,4
style,4
wear,3
hotel,3
station,3
yellow,3
truth,3
hook,3
session,3
hospital,3
twin,3
son,3
office,3
write,3
sex,3
medical,3
ocean,3
medium,3
unit,3
difference,3
diet,3
holiday,3
hit,3
serve,3
imagine,3
guard,3
stone,3
scan,3
bread,3
toy,3
half,3
boy,3
trade,3
country,3
outside,3
boss,3
common,3
seem,3
marriage,3
opinion,3
speed,3
trouble,3
hill,3
series,3
bed,3
wood,3
beauty,3
well,3
labor,3
sing,3
morning,3
sport,3
large,3
mind,3
spirit,3
lay,3
cup,3
kiss,3
wed,3
league,3
learn,3
cry,3
left,3
sponsor,3
anyone,3
war,3
knowledge,3
silver,3
noise,3
inspire,3
cow,3
beautiful,3
beat,3
information,3
soft,3
development,3
network,3
inside,3
base,3
silly,3
lock,3
collect,3
museum,3
stage,3
joint,3
able,3
movie,3
silence,3
concert,3
quality,3
cold,3
pot,3
pose,3
rescue,3
research,3
swing,3
strong,3
climate,3
cent,3
force,3
rice,3
cell,3
cause,3
role,3
talk,3
pick,3
royal,3
past,3
entertainment,3
phone,3
poverty,3
protest,3
eye,3
fail,3
promise,3
summer,3
farm,3
product,3
private,3
study,3
civil,3
supporter,3
film,3
president,3
finally,3
fine,3
capacity,3
treatment,3
business,3
build,3
coffee,3
giant,3
east,3
code,3
theme,3
store,3
cake,3
drop,3
together,3
sand,3
gas,3
performance,3
person,3
reality,2
seat,2
milk,2
project,2
sum,2
progress,2
week,2
tire,2
month,2
smoke,2
minute,2
production,2
process,2
mode,2
probably,2
prize,2
wake,2
size,2
moment,2
second,2
primary,2
skill,2
trace,2
price,2
pretty,2
spend,2
perspective,2
military,2
reach,2
source,2
radio,2
pump,2
rail,2
marry,2
range,2
mass,2
mathematics,2
rapid,2
matter,2
song,2
meat,2
success,2
rare,2
someone,2
participation,2
member,2
proportion,2
mention,2
winter,2
somebody,2
mess,2
wine,2
path,2
might,2
sugar,2
mile,2
promotion,2
thin,2
whole,2
sit,2
present,2
secondary,2
sir,2
self,2
unless,2
point,2
pure,2
nice,2
trial,2
trip,2
stare,2
table,2
nose,2
universe,2
tail,2
string,2
nurse,2
rise,2
unite,2
road,2
occur,2
troop,2
pitch,2
talent,2
tent,2
stranger,2
rule,2
straight,2
official,2
teacher,2
often,2
turn,2
shape,2
reserve,2
orange,2
mount,2
panic,2
visitor,2
tennis,2
region,2
relation,2
visit,2
pair,2
vision,2
spread,2
motion,2
repeat,2
reply,2
square,2
silent,2
near,2
mouth,2
report,2
sample,2
possess,2
victory,2
steel,2
section,2
musical,2
swim,2
ship,2
sharp,2
standard,2
value,2
positive,2
zone,2
drink,2
feed,2
fortune,2
football,2
focus,2
flower,2
floor,2
fix,2
camera,2
final,2
fiction,2
cat,2
fee,2
cluster,2
federal,2
celebration,2
father,2
central,2
check,2
cheese,2
extreme,2
classic,2
exposure,2
exhibition,2
bridge,2
breathe,2
friendly,2
fruit,2
hero,2
heat,2
healthy,2
hate,2
battle,2
hat,2
harm,2
become,2
happiness,2
bike,2
guide,2
bite,2
blood,2
body,2
grass,2
golden,2
gold,2
general,2
garden,2
bother,2
break,2
clothing,2
coach,2
basic,2
curve,2
cream,2
credit,2
crime,2
economy,2
cultural,2
earth,2
early,2
dust,2
draw,2
curious,2
drama,2
comfort,2
daily,2
dangerous,2
door,2
dare,2
dark,2
debt,2
district,2
disk,2
deeply,2
director,2
egg,2
element,2
cover,2
emergency,2
excellent,2
evil,2
comprehensive,2
evening,2
concept,2
concern,2
confident,2
equation,2
connect,2
connection,2
environment,2
content,2
context,2
entrance,2
cook,2
enjoy,2
count,2
counter,2
employee,2
county,2
course,2
history,2
deserve,2
journal,2
island,2
latter,2
laugh,2
magazine,2
launch,2
attitude,2
machine,2
achieve,2
afternoon,2
among,2
answer,2
approve,2
adventure,2
lead,2
lucky,2
leg,2
angle,2
lover,2
lovely,2
article,2
invest,2
autumn,2
major,2
hunger,2
knee,2
honest,2
honor,2
jump,2
agent,2
aid,2
insurance,2
lie,2
awareness,2
legal,2
lake,2
level,2
language,2
correct,1
contain,1
window,1
cope,1
aircraft,1
aim,1
spell,1
soul,1
speech,1
sort,1
specialist,1
species,1
wind,1
confirm,1
split,1
consume,1
strange,1
wheel,1
story,1
wherever,1
whisper,1
allege,1
stock,1
comfortable,1
stick,1
command,1
comment,1
compete,1
complex,1
album,1
compute,1
conduct,1
wide,1
airline,1
spring,1
constant,1
construct,1
agreement,1
solve,1
ago,1
site,1
cycle,1
singer,1
similar,1
accord,1
academic,1
yesterday,1
deep,1
sign,1
yet,1
sight,1
absence,1
sick,1
shut,1
defend,1
shout,1
defense,1
definitely,1
shore,1
delivery,1
abortion,1
shock,1
democracy,1
depth,1
shine,1
sheep,1
custom,1
wrong,1
cousin,1
active,1
sometimes,1
something,1
within,1
craft,1
agenda,1
close,1
solution,1
woman,1
solid,1
soldier,1
soil,1
wonder,1
create,1
criminal,1
adequate,1
crop,1
actually,1
small,1
slow,1
culture,1
skirt,1
worth,1
skin,1
actor,1
current,1
clothes,1
usually,1
stretch,1
climb,1
athlete,1
transportation,1
translate,1
boot,1
assume,1
visual,1
bowl,1
brain,1
brand,1
artist,1
tourist,1
breakfast,1
tough,1
touch,1
voluntary,1
breast,1
total,1
breath,1
tool,1
tone,1
architecture,1
wage,1
apply,1
bright,1
tip,1
tiny,1
appeal,1
boom,1
bond,1
tree,1
bend,1
upper,1
upon,1
valley,1
barely,1
bag,1
bath,1
variety,1
vehicle,1
beer,1
begin,1
belong,1
ultimately,1
bid,1
attack,1
tube,1
version,1
available,1
bin,1
bird,1
truly,1
video,1
author,1
