text,entropy,[number of times that is written on any object]
red,5.528665864120561,[1284]
go,5.524603396270459,[2379]
look,5.492428706622728,[1633]
box,5.447979216870717,[974]
use,5.434378629261635,[2041]
state,5.391091492741188,[2034]
bill,5.3851092298742085,[996]
lot,5.37497023311116,[1029]
low,5.3692561328283634,[960]
please,5.360854079892829,[898]
top,5.3572226279345845,[1124]
win,5.352951895719272,[1449]
start,5.342892306800358,[615]
hi,5.341199621410075,[1249]
cool,5.304714836897639,[342]
pro,5.295532611090406,[762]
ice,5.287869040369063,[721]
ad,5.283983366106305,[639]
sweet,5.276750325271303,[336]
lake,5.25703559481727,[238]
green,5.2561767947353415,[874]
bell,5.254249708857316,[565]
farm,5.2442546328923205,[364]
less,5.236172631706965,[695]
blue,5.234032226683081,[841]
control,5.231195559056289,[870]
ear,5.2264256663428,[306]
touch,5.2238396716263615,[260]
ill,5.219003637968882,[342]
hot,5.217737898761095,[838]
keep,5.215398989363932,[863]
mail,5.212849879839438,[621]
water,5.205884215562362,[959]
play,5.2050034752543946,[826]
dog,5.203896022162002,[417]
light,5.203361394555339,[778]
add,5.1996889796460515,[432]
mode,5.195927610631767,[339]
sky,5.189364847365298,[404]
clear,5.1838698844803375,[268]
unit,5.1827822709087545,[352]
thank,5.175417651258765,[488]
fresh,5.174409054702615,[587]
pen,5.173151689167383,[225]
wing,5.169354506750983,[301]
loss,5.168267063447429,[418]
good,5.155924888164966,[2206]
per,5.150429903252368,[948]
bit,5.145384371526542,[351]
big,5.144957900172354,[1723]
may,5.132280736346045,[2566]
one,5.13138148999904,[4067]
set,5.128839304834692,[648]
see,5.127228006551988,[1340]
gold,5.122114074911833,[456]
happy,5.120696664519854,[835]
white,5.118842025819578,[793]
real,5.118810016845635,[1120]
say,5.1161946371125415,[957]
net,5.112510906667119,[1126]
bear,5.112295760299643,[289]
part,5.111549508131676,[1042]
news,5.1105748051673965,[1094]
car,5.109930737317185,[1211]
oil,5.1095094820663824,[714]
mix,5.106178062788011,[331]
port,5.105762584544454,[464]
pay,5.101424543076659,[685]
tea,5.101047125576528,[389]
mark,5.099167330767037,[793]
new,5.0986674741057545,[6090]
way,5.097541121422324,[1672]
high,5.096601641983981,[814]
sun,5.094028688174838,[807]
file,5.091502616024064,[319]
hard,5.08781483302581,[575]
old,5.083484255895799,[1278]
key,5.080735209108179,[398]
cream,5.077296938967205,[462]
case,5.07485981487584,[514]
moon,5.0697581449874365,[420]
wood,5.066639104186724,[468]
far,5.065992748973903,[536]
day,5.064580594923971,[1988]
law,5.064322142616299,[832]
soon,5.058930480954812,[564]
call,5.054343834469197,[985]
classic,5.053809350113803,[562]
since,5.042545584641155,[910]
chip,5.042132330034098,[240]
count,5.041748774351975,[332]
gun,5.039873702465849,[374]
rice,5.038347136158997,[206]
sand,5.037975755856493,[455]
nice,5.035944396660586,[214]
ban,5.0348806311404335,[384]
buy,5.027224694180557,[703]
man,5.026772331419792,[2504]
mountain,5.02543997228573,[261]
yellow,5.0205926065123725,[212]
still,5.020360566049741,[513]
work,5.019927866227748,[1635]
ask,5.0180664577086915,[490]
line,5.017997051341764,[848]
sound,5.01775904527447,[520]
cost,5.016835010634258,[474]
sure,5.012655573445894,[650]
would,5.0098723048055485,[1751]
son,5.006478359196589,[753]
step,5.003145829048481,[289]
milk,4.995441491156933,[348]
star,4.995234663382523,[885]
slow,4.995130974130085,[238]
power,4.993034733434554,[894]
hell,4.99231970903071,[279]
love,4.987866023525428,[1470]
photo,4.986946469919201,[933]
class,4.985922945132504,[420]
spot,4.9821126936922955,[202]
bed,4.981416253832168,[212]
hear,4.978866787957727,[242]
hold,4.978389790943661,[264]
access,4.977236381869243,[399]
try,4.973697145293661,[610]
wild,4.9711666646504495,[315]
select,4.970850647213512,[201]
date,4.968061693287941,[266]
back,4.966598014508072,[1023]
thin,4.964728649707533,[270]
hello,4.960178776440488,[342]
also,4.958700770445448,[1238]
group,4.955890900168459,[533]
baby,4.954839407625749,[273]
hope,4.952975885846248,[466]
press,4.951615991186079,[551]
king,4.949969865515117,[941]
smart,4.945345866879835,[306]
hand,4.94198459335432,[657]
list,4.940283170903809,[445]
long,4.9393824180258985,[1028]
get,4.937380881177974,[1735]
know,4.93436932185313,[1206]
run,4.9327156909055905,[1157]
home,4.930562385012857,[1505]
rest,4.9295554569088065,[302]
aid,4.925578859385324,[269]
free,4.922466532928212,[2091]
morning,4.920892456367607,[254]
cap,4.920856189241814,[236]
turn,4.919044955828113,[383]
style,4.916687521280389,[326]
hill,4.908135417479675,[353]
counter,4.906334010353321,[257]
user,4.906078833455387,[231]
royal,4.904278361064755,[536]
cup,4.897760429212638,[597]
soft,4.8941773078888176,[270]
base,4.894085582939786,[218]
let,4.893926766898822,[950]
sell,4.890487047844733,[270]
north,4.889328720401368,[714]
brown,4.888329787588233,[509]
ball,4.886672899305156,[431]
service,4.884481253289854,[1621]
end,4.88339121715153,[887]
special,4.882732470749264,[1084]
read,4.88109884842506,[527]
shot,4.880608697211622,[295]
put,4.876563424932948,[625]
time,4.873670149644708,[1962]
cat,4.873288780786571,[489]
island,4.8723722700068235,[370]
like,4.871755445011425,[1456]
sea,4.871063404488602,[393]
check,4.8682869692615265,[232]
extra,4.86682855302124,[571]
fish,4.862779549469069,[382]
cook,4.862052099145714,[220]
next,4.860987777035598,[650]
care,4.851509239153792,[641]
window,4.849479797564722,[310]
chocolate,4.847529390664197,[513]
ago,4.844771460171724,[245]
enter,4.844020578530117,[546]
county,4.843782520844666,[501]
drive,4.837635362010735,[512]
word,4.83568206060608,[313]
need,4.832497352702232,[751]
mad,4.832255931957323,[221]
van,4.827446928360816,[719]
snow,4.825494750509295,[215]
save,4.822864341599878,[658]
sing,4.822485912614766,[209]
bridge,4.8201890815420185,[234]
boot,4.818237890519237,[202]
west,4.818165944892904,[921]
last,4.817325480405393,[935]
code,4.816901981961243,[337]
due,4.815264587401636,[224]
size,4.814039556609872,[316]
grand,4.813321043559905,[753]
must,4.81158886878919,[738]
side,4.807953705049831,[453]
move,4.806013187052258,[265]
sign,4.804205301281872,[239]
space,4.801184090164842,[647]
clean,4.800342347421073,[402]
coast,4.7982104620706565,[315]
anyone,4.797447045327225,[285]
could,4.79373221013808,[850]
black,4.793168835553667,[803]
tool,4.792484967964764,[223]
club,4.78938840351035,[1314]
organic,4.789174340450527,[390]
age,4.788768614115357,[462]
fun,4.7848267090334575,[422]
live,4.782289254146251,[1120]
fair,4.782114576643133,[268]
point,4.780956212278776,[497]
guy,4.774771111460993,[250]
share,4.773644709003193,[346]
show,4.771495285546621,[1003]
pink,4.768569057030966,[226]
eat,4.768380499530044,[330]
bad,4.766689692596836,[353]
speed,4.762341592042336,[449]
passion,4.761038858319873,[203]
really,4.760141094154065,[419]
pure,4.7599169589179,[336]
natural,4.759253387489706,[709]
iron,4.759215578617007,[200]
life,4.758935994057383,[1421]
kill,4.758402237945617,[260]
technology,4.757250308470194,[367]
ready,4.756443229646837,[231]
tell,4.75632155400432,[576]
ocean,4.754027310211771,[200]
cut,4.749760046074423,[358]
card,4.746912378662125,[334]
strong,4.746096892483726,[329]
test,4.7450320552764005,[322]
god,4.744030214294526,[500]
wall,4.743622173969188,[341]
hit,4.743576157382609,[253]
many,4.73972210330302,[1346]
color,4.737066018953387,[570]
pack,4.7360349468805305,[315]
fill,4.734376037966014,[235]
original,4.733939023987209,[989]
pop,4.733418802600232,[324]
past,4.733140699985329,[272]
rock,4.732442769065752,[641]
fat,4.73179723990372,[249]
help,4.729607282427311,[614]
