object,entropy,[number of times that is written any text]
poster,10.332283468985416,[90195]
book,10.252411287779141,[44794]
person,9.936818423916787,[22826]
woman,9.852977740920142,[17130]
man,9.848501947436976,[34080]
clothing,9.835731570742277,[26257]
plant,9.722805855919837,[6131]
whiteboard,9.713385385430279,[3927]
billboard,9.708704793062502,[8234]
building,9.637139480082737,[39672]
girl,9.568383123320519,[5522]
human body,9.52425747915268,[3992]
land vehicle,9.494721973125346,[5459]
computer monitor,9.463335450070264,[4190]
mammal,9.45293401907415,[3126]
table,9.42856686691556,[2644]
shelf,9.381496028545442,[3981]
bookcase,9.344102014216347,[3804]
picture frame,9.304304154281695,[1945]
house,9.184255638336433,[8555]
boy,9.160220710491505,[3078]
office building,9.152056504569927,[1651]
mobile phone,9.110211860162368,[5735]
car,9.101880923096711,[12015]
television,9.067884867197098,[2281]
vehicle,9.045567815942398,[1676]
box,9.043157879632748,[1933]
window,9.038772916985907,[2033]
convenience store,8.99493562862157,[3556]
bottle,8.989182861582568,[9583]
auto part,8.98671213199947,[1704]
human face,8.9604969903475,[1137]
toy,8.92114136498755,[1886]
laptop,8.919419590002732,[2617]
suit,8.878721188735502,[1857]
furniture,8.835370164874895,[1044]
tablet computer,8.830521434078328,[1573]
truck,8.826670475507031,[4273]
drink,8.751129074780717,[4206]
office supplies,8.657671197591023,[1121]
tent,8.576235684659476,[716]
wine,8.565471457693672,[2456]
door,8.560746995508197,[1332]
human arm,8.539899935933049,[860]
boat,8.5327415668103,[2152]
jacket,8.517971871130317,[725]
van,8.43131139248117,[2274]
snack,8.366334100570745,[3886]
desk,8.335655712071592,[614]
bicycle,8.333212763920152,[1152]
food,8.29523614277509,[1342]
skyscraper,8.292487595924815,[1282]
tin can,8.256337479630018,[2901]
wheel,8.255147828326562,[780]
sports uniform,8.223470286620696,[1266]
flower,8.083084652109346,[526]
train,8.066611395764717,[1629]
beer,8.056746368219013,[3035]
sculpture,8.05327136131532,[440]
fashion accessory,8.003020401779931,[494]
guitar,7.9988388184994035,[590]
dress,7.967736777372378,[568]
human head,7.967617672976342,[378]
tower,7.9602204405542665,[698]
camera,7.927238460629198,[1192]
tire,7.858620588436862,[495]
flag,7.856709935259313,[737]
traffic sign,7.843220039374879,[2499]
human hair,7.838977960736844,[355]
mug,7.835477110213433,[573]
human hand,7.742775388930777,[350]
scoreboard,7.723709747266308,[1210]
motorcycle,7.659562768950173,[825]
bus,7.637436687922906,[8562]
shirt,7.613784590388935,[286]
houseplant,7.607019527469418,[345]
coffee cup,7.594824550760579,[507]
animal,7.547720133474347,[246]
plastic bag,7.54434010706104,[295]
balloon,7.481958164548896,[372]
palm tree,7.469088269538145,[256]
bicycle wheel,7.455693244508688,[341]
tableware,7.441904557696408,[266]
chair,7.422284334525484,[287]
baked goods,7.34973345615693,[587]
dog,7.34319078030059,[290]
home appliance,7.330217628898887,[264]
hat,7.329609792164521,[247]
watch,7.315584807643737,[616]
airplane,7.274578805355592,[1930]
cosmetics,7.2686642391959175,[396]
fast food,7.255754737748807,[295]
dessert,7.249067521527808,[349]
personal care,7.232801166493331,[439]
umbrella,7.211779676633096,[213]
cart,7.180536612488494,[214]
vehicle registration plate,7.159397860471798,[609]
jeans,7.1123528760347945,[211]
street light,7.10710405657578,[289]
watercraft,7.048402861369373,[247]
waste container,7.044661445849496,[311]
stairs,7.043757603094629,[239]
tool,7.0346138326149035,[200]
doll,7.02120956470982,[200]
refrigerator,7.011223813754989,[242]
envelope,6.975205880598654,[378]
dairy,6.972713915152547,[645]
footwear,6.822549583692587,[334]
rose,6.819417729753612,[216]
helmet,6.81886061630806,[202]
drum,6.814994032196045,[220]
cake,6.779474633646828,[407]
corded phone,6.764593523811014,[219]
pen,6.694382670986847,[251]
calculator,6.57704658131135,[462]
medical equipment,6.544295297259778,[203]
cat,6.497039815922069,[346]
computer keyboard,6.332614004436546,[1048]
helicopter,6.297028729015575,[341]
remote control,6.272058702913757,[356]
juice,6.23329752343967,[407]
horse,6.178643113256274,[256]
coin,6.025808285242224,[432]
taxi,5.750187715228044,[392]
parking meter,5.660721824974682,[494]
ambulance,5.485548832409723,[333]
ipod,5.1268333918355635,[383]
cooking spray,3.301333928553883,[229]
stop sign,1.463246536779217,[374]
