text,num
new,6090
one,4067
army,2635
may,2566
police,2547
man,2504
go,2379
good,2206
free,2091
stop,2089
world,2073
use,2041
state,2034
day,1988
open,1972
time,1962
city,1927
would,1751
get,1735
big,1723
first,1697
way,1672
book,1647
work,1635
look,1633
service,1621
beer,1506
home,1505
school,1483
bus,1480
love,1470
like,1456
win,1449
house,1427
life,1421
air,1353
many,1346
see,1340
national,1333
bar,1317
club,1314
make,1313
red,1284
old,1278
hi,1249
also,1238
car,1211
know,1206
run,1157
park,1148
street,1144
food,1131
net,1126
top,1124
live,1120
real,1120
great,1104
center,1103
news,1094
special,1084
team,1078
people,1066
hotel,1061
part,1042
welcome,1033
lot,1029
long,1028
back,1023
fire,1022
show,1003
bill,996
company,994
original,989
call,985
sale,982
box,974
music,965
south,962
low,960
water,959
say,957
shop,956
art,953
take,953
let,950
per,948
king,941
last,935
every,934
photo,933
west,921
land,913
since,910
road,901
please,898
power,894
end,887
star,885
green,874
control,870
keep,863
die,862
could,850
university,849
line,848
blue,841
coffee,840
hot,838
happy,835
law,832
international,829
play,826
right,824
high,814
sun,807
black,803
white,793
mark,793
come,785
store,782
light,778
place,762
want,762
pro,762
bank,757
grand,753
son,753
need,751
money,750
design,741
station,739
must,738
via,727
war,724
ice,721
van,719
north,714
business,714
oil,714
natural,709
restaurant,708
edition,708
buy,703
social,701
post,696
less,695
change,690
pay,685
think,678
family,675
hall,673
year,668
save,658
hand,657
well,656
local,652
next,650
sure,650
set,648
space,647
rock,641
care,641
ad,639
game,636
town,634
little,633
office,629
put,625
mail,621
general,616
start,615
public,614
help,614
support,611
try,610
find,606
health,604
east,598
cup,597
festival,594
digital,591
fresh,587
much,584
never,579
tell,576
hard,575
extra,571
color,570
room,568
bell,565
soon,564
market,563
classic,562
price,561
information,559
wine,557
radio,551
press,551
express,548
enter,546
quality,541
night,539
energy,536
royal,536
far,536
sport,534
group,533
museum,530
thing,529
college,527
phone,527
read,527
library,524
film,524
menu,520
sound,520
union,519
even,516
drink,516
case,514
chocolate,513
still,513
give,512
drive,512
party,511
country,509
brown,509
web,509
science,508
today,505
emergency,503
county,501
force,501
god,500
miss,498
point,497
system,495
plus,495
central,494
march,494
contact,493
ask,490
cat,489
thank,488
community,484
tour,479
beach,478
series,475
full,474
cost,474
area,468
wood,468
hope,466
port,464
age,462
cream,462
action,461
without,460
orange,460
gold,456
mobile,455
sand,455
history,455
future,454
side,453
total,451
zone,450
speed,449
taxi,449
heart,446
around,446
list,445
fine,443
body,439
true,438
complete,438
project,438
staff,437
travel,434
add,432
ball,431
name,427
product,426
head,426
fun,422
story,422
fly,421
moon,420
class,420
camp,419
really,419
guide,419
loss,418
stand,417
collection,417
dog,417
society,414
cheese,410
dry,409
human,408
away,404
sky,404
award,402
clean,402
pour,400
access,399
key,398
available,398
data,397
band,393
sea,393
justice,392
cold,390
organic,390
tea,389
ever,389
policy,387
pale,384
dark,384
ban,384
turn,383
square,383
fish,382
brand,382
lock,381
bike,381
capital,374
gun,374
arm,374
garden,373
western,372
main,371
island,370
security,370
valley,370
wind,369
church,367
technology,367
author,366
rescue,365
farm,364
vote,362
summer,360
fast,360
department,360
spring,360
form,358
cut,358
chicken,358
camera,358
peace,357
hill,353
bad,353
daily,353
unit,352
bit,351
cross,351
network,350
easy,350
milk,348
left,347
